lineage,transfer,ln_cn,copy_number,n_reps,genotype,context
TFMN1.fba.1,1,-0.3340751120214915,0.716,1,fba,TFMN1 single-KO
TFMN1.fba.1,5,0.5265021031509983,1.693,1,fba,TFMN1 single-KO
TFMN1.fba.1,11,1.494251502624983,4.456,1,fba,TFMN1 single-KO
TFMN1.fba.1,20,1.5357913722658016,4.645,1,fba,TFMN1 single-KO
TFMN1.fba.1,32,1.494251502624983,4.456,1,fba,TFMN1 single-KO
TFMN1.fba.2,1,-0.2561834053924099,0.774,1,fba,TFMN1 single-KO
TFMN1.fba.2,5,-0.17793120849266178,0.837,1,fba,TFMN1 single-KO
TFMN1.fba.2,11,0.2941610385494901,1.342,1,fba,TFMN1 single-KO
TFMN1.fba.2,20,0.30968815271439554,1.363,1,fba,TFMN1 single-KO
TFMN1.fba.2,25,-0.037209577759159465,0.9806000000000001,5,fba,TFMN1 single-KO
TFMN1.fba.2,32,-0.2903523010076598,0.748,1,fba,TFMN1 single-KO
TFMN1.fba.3,25,0.1416532475979488,1.2206,5,fba,TFMN1 single-KO
TFMN1.fba.5,1,-0.40047756659712525,0.67,1,fba,TFMN1 single-KO
TFMN1.fba.5,5,0.13540463700620298,1.145,1,fba,TFMN1 single-KO
TFMN1.fba.5,6,0.13627761829254775,1.146,1,fba,TFMN1 single-KO
TFMN1.fba.5,7,0.071389996086673,1.074,1,fba,TFMN1 single-KO
TFMN1.fba.5,11,0.05259245011917063,1.054,1,fba,TFMN1 single-KO
TFMN1.fba.5,20,0.44404459007563946,1.559,1,fba,TFMN1 single-KO
TFMN1.fba.5,32,0.5429055172294024,1.721,1,fba,TFMN1 single-KO
TFMN1.fba.pgi.2,1,-0.5175146119167874,0.596,1,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.2,5,-0.13811330212963427,0.871,1,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.2,7,-0.11541085151132773,0.891,1,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.2,8,-0.23310085537849298,0.8053333333333333,3,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.2,20,-0.26526847761488087,0.767,1,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.2,32,-0.1750703498216663,0.8704000000000001,5,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.3,1,-0.3051673867928005,0.737,1,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.3,5,-0.1839228381609285,0.832,1,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.3,8,0.2053868297249507,1.228,1,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.3,20,0.44660705143933954,1.563,1,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.3,25,0.19386466236633088,1.254,5,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.3,32,0.12575120530556025,1.134,1,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.4,1,-0.4732087601946839,0.623,1,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.4,5,-0.0650719967437148,0.937,1,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.4,8,-0.1899505839584458,0.827,1,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.4,20,-0.10536051565782628,0.9,1,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.4,25,-0.011728163892084814,1.018,5,fba.pgi,TFMN1 double-KO
TFMN1.fba.pgi.4,32,0.07232066157962608,1.075,1,fba.pgi,TFMN1 double-KO
TFMN1.fba.sohB.1,1,-0.3410828491788962,0.711,1,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.1,5,-0.2206466711156225,0.802,1,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.1,8,-0.140412153716745,0.869,1,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.1,20,-0.2876820724517809,0.75,1,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.1,32,-0.33267943838251673,0.717,1,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.2,25,0.11772543555134077,1.1858,5,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.3,1,-0.34955747616986843,0.705,1,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.3,5,-0.05657035148839435,0.945,1,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.3,8,0.16805358499624976,1.183,1,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.3,20,-0.19116050546115904,0.826,1,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.3,32,-0.342490308946776,0.71,1,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.4,1,-0.4231200433468851,0.655,1,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.4,5,-0.3065251602532608,0.736,1,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.4,8,0.23822918873225055,1.269,1,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.4,20,0.17058630057553367,1.186,1,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.4,25,0.17349577142732656,1.4442,5,fba.sohB,TFMN1 double-KO
TFMN1.fba.sohB.4,32,0.009950330853168092,1.01,1,fba.sohB,TFMN1 double-KO
TFMN1.fba.tpiA.1,1,-0.3768776512562517,0.686,1,fba.tpiA,TFMN1 double-KO
TFMN1.fba.tpiA.1,5,-0.43695577519953516,0.646,1,fba.tpiA,TFMN1 double-KO
TFMN1.fba.tpiA.1,8,-0.3989861420104552,0.671,1,fba.tpiA,TFMN1 double-KO
TFMN1.fba.tpiA.1,20,-0.3396773675701613,0.712,1,fba.tpiA,TFMN1 double-KO
TFMN1.fba.tpiA.1,32,-0.3092462503676215,0.734,1,fba.tpiA,TFMN1 double-KO
